Name	Alpha	Mobility
mp-22895	0.1968807231220637	1499.697575493113
mp-1778	1.2371309128173045	30.045043116988758
mp-984761	0.9834021156186751	370.80000192141586
mp-966800	0.07268677211343968	10104.494119647643
mp-961678	0.3041024569670228	151.16898436024454
mp-8145	2.100708932828368	16.597202233916423
mp-8039	2.9386196148976667	10.71337179626116
mp-1018096	2.2368324263211896	19.164254844371097
mp-10159	0.8786236433886048	417.4520442245854
mp-1009733	0.3110938117857253	321.7598456103102
mp-241	2.402987885515467	25.941735826226807
mp-2201	0.3369990674069357	1311.1400169531325
mp-21276	0.3867892667143411	859.8689309983308
mp-10250	3.8000382005924993	7.592510827653045
mp-1018100	0.06520312422895475	3200.9574338624398
mp-8402	3.078846913644234	13.631904980777222
mp-8177	1.6112714952804732	65.60880792202501
mp-7891	0.2799379383571878	1639.1978124454988
mp-12894	1.4118726043642609	28.539777273576746
mp-1018040	0.5747540918628665	321.9814203666816
mp-1014244	1.4165996643906558	8.457394292257995
mp-9575	0.26589945337031956	248.01606643434917
mp-776532	1.972910047378062	14.861588592656403
mp-568544	2.3002350857263676	50.299172736296164
mp-23949	1.7589872058460176	23.21979222792573
mp-1968	2.855922150456673	5.205408571255623
mp-10086	1.149810221645995	64.51365316703746
mp-5394	1.4412690504581862	42.310814422844466
mp-470	0.916837429169202	117.61553636799754
mp-27985	1.8392285366535135	26.249258083756686
mp-27546	3.1079586410169746	9.916770701118226
mp-2657	1.4304723399160058	18.11571437556393
mp-23214	3.8161944404079295	4.94129392456209
mp-10219	2.263178655871699	18.264498635974554
mp-754117	1.5636939825397207	24.441407485347792
mp-568032	0.30080142191875603	1169.3298486291621
mp-27243	3.9475436652405707	7.532697502273466
mp-755309	1.6095844545728384	8.380395912161193
mp-7548	0.7454505588467507	147.2014753190085
mp-568536	3.0341504105000645	19.800941716316846
mp-567680	3.7265179040957053	9.499864236655915
mp-561586	1.9739734295419216	22.650847674360634
mp-754710	2.922665163738573	13.64401581284718
mp-754517	2.7457814572162023	14.635062443418313
mp-754212	4.314573404541593	8.408125933891553
mp-7233	1.7019295200549627	17.573199983314126
mp-7000	1.434007443482341	25.92141966395177
mp-8407	0.46481619203687397	246.21042914906067
mp-8405	0.3036799665561676	489.371968803118
mp-7738	1.2168337865463394	68.42734829187259
mp-7100	5.529749579516542	0.5587834086703228
mp-4547	1.2008302929706234	42.17614379821293
mp-4511	1.898026684894439	13.724746361856905
mp-504535	0.7327780926368136	118.98244536001994
mp-23025	2.1684409219760394	14.886867184233644
mp-23023	1.952962753404002	17.73431304572061
mp-20072	1.7300540267089115	18.286514359644855
mp-8180	5.985893688167887	0.8353079583870813
mp-754535	1.6060824458412604	21.251596924490684
mp-6088	1.242593320594616	29.632675254941525
mp-552488	1.0459303166165106	41.70169495228838
mp-7060	0.610143682568778	188.74649839046478
mp-549589	0.5544234622646093	230.193721432439
mp-755586	1.9331552378266383	28.019598674006613
mp-567373	2.8528110271903624	2.4312056867812206
mp-675531	0.9653642714097879	52.75873628870612
mp-573721	1.1930407176381892	44.15150934449473
mp-556405	1.8725198529451492	13.399505363314375
mp-2920	2.127962585797918	12.084297058532016
mp-989643	0.6387270284708516	20.836910247291875
mp-974603	2.9125770375031754	8.054750053456683
mp-8934	0.7750178480325579	260.0075341317938
mp-1873	2.698102732145635	18.243991447139187
mp-8931	0.6412175399689595	379.56545849872924
mp-8930	1.3760570975580564	19.616707237677574
mp-1008559	0.010922856083947375	7266.599824630131
mp-510268	2.115040786176662	11.26596336512382
mp-15556	1.3683720287160634	45.56921462602586
mp-13992	2.5253260548156784	7.7412253880809265
mp-11695	1.8010095030084354	19.626405665745395
mp-24721	1.8476343923438678	23.83242795499889
mp-2079	1.6496961917513606	32.99002223176198
mp-13868	0.4362951680398889	29.69406935720953
mp-632319	1.8545173690564154	17.670820140728686
mp-24084	1.940756081829799	19.092469403488103
mp-19717	0.31995277160554964	1082.5029665755283
mp-1394	2.042450673826468	38.0927365212544
mp-973185	0.9768397977719234	40.790022779344504
mp-753260	1.5861058074490988	22.185066525715072
mp-753098	2.2118283816481896	6.03193371540661
mp-6972	1.3142774184603558	29.568898568934983
mp-570538	3.3894437497573704	4.124405676520737
mp-559092	14.51826586130139	0.005899210026212986
mp-4636	1.02383315837593	35.386010158444584
mp-2659	4.390365484542283	1.7196324277644826
mp-20459	1.8416381408154012	9.544811336686053
mp-15794	1.1330730561780096	61.69550057797299
mp-15788	1.2830118003804825	47.58412233087672
mp-6920	5.6995785777573245	1.0660672424603983
mp-28602	3.161285097899545	18.359973834928475
mp-23737	0.9892072119899877	56.72566704655761
mp-555763	0.3757459279641762	557.0562841526074
mp-5479	3.769899481119954	8.997161346799622
mp-23859	1.537616271880937	24.323801111164858
mp-23818	0.7635937606471489	76.71162378860411
mp-13548	3.138668628350669	16.602460868382085
mp-11824	1.1378641958147064	53.24393942011223
mp-24423	1.309062095944819	37.90030240261778
mp-23956	1.2555809628839727	34.493978413047344
mp-998156	3.247034657150797	10.101184613944374
mp-634657	1.9276904234217453	42.18845847251422
mp-36066	1.7943263035535788	7.29981191603621
mp-30004	3.7027365108068873	15.323199425753014
mp-998198	4.89649858291765	10.465768755515848
mp-996997	0.5884920062799553	88.43429271485135
mp-8874	1.6135049888147068	19.264318347072034
mp-754368	1.4144473032010716	44.25765854679326
mp-676284	0.5105431089265573	390.77808525593167
mp-568661	0.20417362763993796	2257.863085098126
mp-35220	1.0436046988338452	28.245966622719877
mp-34169	0.225919347241976	1735.357291605559
mp-15704	0.6287031723126039	92.39184224856902
mp-10955	0.009802205101042828	282462.80291973456
mp-7955	0.40165279623980393	324.64800139508304
mp-3813	1.0547056314167789	86.4561911686891
mp-11714	0.2813736928609814	236.71116453945072
mp-11019	0.6455806780326901	94.967486286367
mp-4782	4.236304871657451	4.604307897253162
mp-2918	1.3979029944488042	24.032766497506625
mp-29151	1.7192916600704569	32.41898873800729
mp-10281	0.38540452896492433	544.1659903528969
mp-30251	0.9630287857529829	66.20052796984474
mp-20329	0.5154916583941623	203.07890452443485
mp-13983	4.267119628691447	0.5224940263252938
mp-8256	3.5862655837385176	1.6434434240467115
mp-33526	0.772232078981725	75.33317137814437
mp-24428	3.0071175818860354	15.596846751370956
mp-23116	0.3487409759767087	724.3810590769777
mp-22483	0.6123566870073068	309.9428420913217
