Name	Frequency [meV]	ZPR	Reference_Alpha	Reference_ZPR
mp-36066	-1284.625324060171	-294.4771395652841	2.733482	-280.576163
mp-36111	-91.66698719952355	-30.770019300584142	0.6177619999999999	-30.510244
mp-3614	-381.9851134841759	-563.3050716265828	4.786917	-389.546003
mp-3637	-494.292291878488	-354.7608717117483	4.721315	-301.917605
mp-3642	-713.1879130228583	-108.3907742295778	1.6077089999999996	-105.361757
mp-36508	-651.8523317988222	-163.29161601428393	4.137887	-150.61647
mp-3654	-224.74257785409156	-302.64073398728954	7.933547	-242.04514899999998
mp-36582	-416.4904570726885	-69.06588914722087	2.415769	-68.48990599999999
mp-3666	-1177.38615148705	-1417.366577091124	9.465961000000002	-754.69563
mp-3668	-304.23348265255515	-2.6017495182492727	0.069367	-2.598731
mp-370	-31.753285895656795	-27.180413221368788	0.846725	-26.886301
mp-3700	-1180.9411600004203	-305.02832356082894	4.614058	-262.100418
mp-37091	-245.98930654483425	-16.49727628627086	0.8219180000000001	-16.301026
mp-37153	-389.03299042786625	-136.66534951196434	4.3895919999999995	-132.204081
mp-37216	-574.9400987317911	-162.41314563152537	4.3898779999999995	-149.490454
mp-3731	-1182.2144456037186	-286.56070212934054	3.2543759999999997	-261.342469
mp-3744	-614.6566998296992	-35.953089984912076	0.629151	-35.635464999999996
mp-3748	-443.5369593578147	-85.4703021490037	1.0178820000000002	-83.991841
mp-3762	-193.10608147772618	-7.424400334945001	0.171043	-7.406694
mp-3772	-368.38207762355796	-9.870893992316429	0.39074800000000004	-9.811336999999998
mp-37906	-139.613665320611	-80.08536587981285	0.999552	-78.914134
mp-380	-68.80985216912258	-9.166756655302807	0.29845299999999997	-9.105572
mp-38011	-385.60736523735704	-74.8329266615125	3.1717	-74.100258
mp-38117	-155.55446770342877	-9.297340490396145	0.572129	-9.213392
mp-3813	-274.5253565262978	-45.9376122527114	1.494883	-44.404403
mp-3821	-609.4487317060252	-542.5097319529797	14.560868	-376.970189
mp-3834	-287.3707441051124	-268.64872707865624	3.5629280000000003	-235.708151
mp-3839	-180.94413420523642	-0.23845881547100936	0.012969	-0.238417
mp-3915	-252.0302353554208	-109.92944026926541	3.096472	-106.09040999999999
mp-3924	-753.6654759999344	-87.4917392359748	1.4287770000000002	-85.653119
mp-3953	-1483.477135106722	-418.10996936723944	8.194512000000001	-375.801161
mp-3980	-826.2697141766857	-399.4147214284856	6.167756000000001	-325.24517
mp-3982	-707.131227370642	-164.5637126542079	4.761304	-155.45309300000002
mp-4002	-853.8021154995533	-1850.5907426354063	12.365419	-815.3815539999999
mp-4009	-378.7754844698296	-36.32272161476805	2.2278729999999998	-35.509532
mp-4035	-948.3719757592522	-245.6793234341544	9.584281	-218.173807
mp-4043	-118.68172017827328	-3.4025826413110307	0.114009	-3.396541
mp-4047	-348.42803259624947	-188.06312078743505	6.729583000000001	-174.81233
mp-406	-19.71804464213387	-2.682054713312277	0.135791	-2.677533
mp-4081	-110.74837446578042	-3.7500870992333826	0.12437000000000001	-3.742217
mp-4124	-491.9036389533752	-151.475079620127	2.5198709999999997	-147.831477
mp-4156	-1508.6851973123796	-250.50366787705147	3.091614	-230.054503
