Name	Formula	Mass	Frequency [meV]	Reference_Alpha	Reference_ZPR
mp-14037	NaTl2RhF6	0.8693809488359999	0.428709	7.419225	-166.107204
mp-14038	Rb2NaRhF6	1.8774562612090002	0.363009	9.766167	-285.34503
mp-14039	K2NaRhF6	1.8447126728039998	0.300653	12.431139	-348.888854
mp-14069	CsAlO2	0.336988377049	0.206191	3.726327	-122.100137
mp-14070	RbAlO2	0.38092596486399993	0.228039	5.986544	-170.178013
mp-14088	Rb2PdF6	2.5042682701439998	0.336829	13.975887	-275.246918
mp-14091	AlAgSe2	0.11860722723599998	0.3327	0.286982	-8.647346
mp-14092	AlAgTe2	0.100679924601	0.34876	0.160262	-4.333564
mp-14116	CuRhO2	0.9040472625960001	0.08441	0.125252	-9.471109
mp-1413	P2Ru	0.7463283934089999	0.153442	0.371969	-17.874043
mp-1415	CaSe	0.41687037902499996	0.037044	1.417142	-45.785759
mp-14175	K3NbO8	2.265389224641	0.404981	13.774423	-327.272624
mp-14205	K3Cu3As2	0.392935907716	0.33738	1.086882	-16.273908
mp-14206	K3Ag3As2	0.30235261795599994	0.360847	1.003757	-13.638126
mp-14285	CoP2	1.5563236157290001	0.325572	0.310216	-16.464164
mp-14333	TaAlO4	1.6529884905960002	0.306671	3.26286	-289.323003
mp-14398	CaSn(BO3)2	0.733581972036	0.238125	3.228303	-195.877926
mp-14437	RbYO2	0.611198731264	0.110591	2.927768	-169.492123
mp-14588	Na2PtSe2	0.8105905075840001	0.455871	1.705753	-30.628693
mp-14652	Cs2P3	0.648221434884	0.441511	2.383005	-35.344492
mp-1479	BP	0.347731937344	0.018648	0.011566	-1.17111
mp-149	Si	0.2886934392039999	0.023611	0.0	0.0
mp-1500	BaS	0.45076587488099995	0.040655	2.211044	-68.073988
mp-15157	Cs2CaF4	0.452553543841	0.280075	5.828013	-179.539973
mp-1519	CaTe	0.3806519809	0.039814	1.090306	-29.511077
mp-1522	FeS2	4.182262223364	0.141162	0.475666	-26.356471
mp-15349	Li2GeO3	0.521474625424	0.29852	2.169135	-170.597652
mp-1541	BeSe	0.362892988836	0.023324	0.351499	-24.985241
mp-1550	AlP	0.336111222001	0.024937	0.256934	-15.577266
mp-15556	Rb2As3	0.623202882624	0.572415	1.808589	-21.988898
mp-15557	Cs2As3	0.5939630761	0.511425	2.034997	-21.392349
mp-1565	ZrO2	1.2003284040250002	0.052279	2.604324	-210.328836
mp-15668	NaSe	0.218252480625	0.364689	0.697597	-14.888139
mp-15684	K2CuAs	0.426755160225	0.347615	1.591271	-27.44914
mp-15685	Na2CuAs	0.315734981409	0.309233	0.769039	-16.624855
mp-1569	Be2C	0.314819743744	0.039573	0.540392	-62.97519
mp-15703	BeCN2	0.39004646436900003	0.126561	0.513392	-73.488191
mp-15704	BeSiN2	0.360547407936	0.143994	0.768507	-95.847663
mp-15724	KNa2Sb	0.08232251256099998	0.141945	0.500298	-8.189347
mp-15776	Zn(GaSe2)2	0.127047334969	0.253718	0.330123	-9.188066
mp-15777	Zn(GaTe2)2	0.3266053920359999	0.290419	0.304611	-6.783084
mp-15781	KLaS2	0.723602019904	0.124733	2.590219	-88.05518
mp-15788	LiYS2	0.486048797584	0.105765	1.521832	-67.068746
mp-15794	LiYSe2	0.456065206276	0.123581	1.372559	-46.777694
mp-15896	Cu2SiSe3	0.057774371768999994	0.482316	0.065932	-2.042563
mp-1591	Al4C3	0.37115631907600005	0.160143	0.579278	-47.841416
mp-15951	BeF2	0.659743564516	0.229297	3.007256	-314.068617
mp-1598	Na3P	0.07628809720899998	0.306601	0.368763	-9.915623
mp-15988	Li2CuSb	0.505127182729	0.106032	0.215986	-6.608727
mp-15999	Li3AuS2	0.37145611878400003	0.405958	0.960208	-44.970025
mp-160	B	1.323845842225	0.215114	0.023306	-2.034023
mp-16236	KAgSe	0.11313468602500001	0.273624	0.887374	-15.36023
mp-16264	LiCaSb	0.569547939856	0.457882	0.792932	-20.237048
mp-16337	Ga2HgTe4	0.08133904	0.312162	0.162212	-2.781335
mp-1634	MoSe2	0.539158307076	0.244708	0.038544	-1.411962
mp-1639	BN	0.404868781849	0.015963	0.520388	-82.659657
