Name	mass	eps_ionic	eps_static	volume
mp-1000	0.6217	6.311555304676414	12.773453841404539	84.0743546603
mp-1002124	0.7984	24.137742711424348	32.96559329678219	31.2332448856
mp-1002164	0.5924	8.111020881077835	11.169464314194972	23.8031409075
mp-10044	0.5711	10.032167864916383	10.128936155960778	27.1123214492
mp-1008223	0.5488	3.9792006781338127	6.394042651457421	68.6599183215
mp-1008506	0.6808	18.22838803221069	23.362994047357507	79.9809816704
mp-1008556	0.5007	5.189261297578154	9.31904146295098	43.6980742036
mp-1008559	0.5894	9.326162586788504	9.466799526290872	46.1947697898
mp-10086	0.6384	5.981005653242649	15.66687448658128	94.4423122395
mp-1008680	0.7575	19.183229267187485	23.997045540371246	51.8528951833
mp-1008786	0.4729	9.136444248134904	23.20621949331387	51.5450493454
mp-1009082	0.2207	15.70656840963636	18.193198034778796	220.495975595
mp-1009084	0.5726	14.133937144669186	16.015995660006098	175.450951935
mp-1009085	0.5922	9.725563218954242	10.836914801672753	131.815571075
mp-1009087	0.598	10.97551507529513	11.895113389361287	149.955768789
mp-1009088	0.5452	13.200290909654331	14.294543720562368	156.686712782
mp-1009127	0.5242	3.7494171901126077	83.19721563564346	18.2566544807
mp-1009129	0.552	3.4586848220154995	13.323834457422654	19.4659993157
mp-1009220	0.7263	3.4954096377045403	18.558188550638903	25.3965034293
mp-1009733	0.6077	14.029135215494927	21.963121702916588	89.061666852
mp-1009750	1.0266	6.707762463482236	13.208104693346499	28.3526448248
mp-1009792	0.9648	37.59070401112085	54.02173484887768	22.9742290803
mp-1009813	0.4083	24.525736098834564	24.798632899204737	53.9907994386
mp-1009819	0.9917	4.5252160201196805	70.71283710372882	29.1454556971
mp-1009820	0.2778	12.089474267304322	15.969080835910473	32.0765160044
mp-1011695	0.5685	3.68170987688671	6.795583598408308	142.187424036
mp-1014244	1.4201	8.935347377738477	32.09168991334524	48.2777315124
mp-10159	0.3416	7.643536630519399	18.99223567017201	147.608628088
mp-10163	0.5303	7.99494108071267	15.427855592154055	223.900469732
mp-10167	0.8693	5.100563251431977	13.910402176913033	179.944843478
mp-1018040	0.4309	4.753278240681433	7.307609357023586	104.670974202
mp-1018096	0.7526	5.431234850160834	167.2811841365638	89.9684328065
mp-1018100	0.4249	11.800543218266002	13.09626541747825	116.647044123
mp-10182	0.5762	10.545504010109443	15.858015709786082	45.5166132097
mp-1020019	0.7704	2.999819015028144	6.49616528698696	114.305407477
mp-1020059	0.5494	5.2261729862871285	9.66643256826865	133.00684314
mp-10219	0.7269	3.4321065129495194	14.229927574276664	78.606268775
mp-1022	0.594	3.162487901453954	6.162422592880103	98.6664321834
mp-10223	1.0267	6.464905158696169	11.32483173399213	197.363841665
mp-10226	0.7695	5.388332280804338	13.00098428159363	88.3668467583
mp-10246	0.9294	6.1319586233683	11.193015081747768	198.673276382
mp-10250	0.7588	2.665381384040416	14.770475588026212	62.2358686838
mp-10281	0.4111	6.1239505653966	8.994021271804227	153.611270597
mp-10289	0.7218	16.62733218103429	24.46273447939653	103.644494098
mp-1029	0.6948	2.3975901031723645	8.170428075296527	58.2404389905
mp-10322	0.6381	7.435397977330667	29.529916744995237	140.494785616
mp-10341	0.6874	3.53743001734184	9.765850740711931	121.993411246
mp-10378	0.3982	8.16336502296241	21.92430853693818	183.716443959
mp-10408	0.8456	2.7449451451777676	6.877145644086049	88.0046978549
mp-10417	0.83	3.875651267004376	9.673994042915742	148.583385057
mp-10418	1.1649	3.674932393457977	9.100405604217341	166.129498141
mp-10485	0.6413	10.669573931490335	23.42316183430171	184.940045511
mp-10492	0.729	1.945891731228451	5.516173504019289	149.053525993
mp-10547	0.6535	3.9692562708947565	7.057315974825275	282.392766232
mp-10550	0.4404	6.110422868122599	17.981504002296344	71.1552205319
mp-10572	0.9482	4.035244259949656	9.559212937940028	86.5068166902
