Name	Formula	Mass	Frequency [meV]	Alpha	Reference_Alpha	ZPR	Reference_ZPR	Error
mp-7104	CsCaF3	0.44142736	44.1559	3.6449092638945584	3.6452	-170.07515252147584	-160.9567	5.6651587175158475
mp-3834	BaZrO3	1.09537156	74.2765	2.671267205849272	2.6712	-206.08275770752326	-198.4092	3.86754127707952
mp-3654	RbCaF3	0.50140561	42.5045	5.120821275450502	5.121	-237.5303820815055	-217.6666	9.125783230640586
mp-3163	BaSnO3	0.14784025	62.6721	0.8768801357388943	0.8769	-55.57954983172469	-54.9552	1.136106922956687
mp-30056	CsCaBr3	0.32285124000000004	20.14	3.7038436136913444	3.704	-78.91643506579189	-74.5975	5.7896512159145965
mp-9610	Li2CN2	0.8096400400000001	123.0613	1.7032589303241268	1.7032	-214.4550484473515	-209.5923	2.320098804847073
mp-9570	Ca(CdP)2	0.11035684	35.1355	0.2289012342780759	0.2289	-8.065563143166413	-8.0437	0.2718045571865383
mp-9564	Ca(MgAs)2	0.5264953600000001	33.0851	0.6610024266075609	0.661	-22.054180275650783	-21.8696	0.8440038942220451
mp-4961	Na2HgO2	0.84879369	52.0744	1.9073812011506168	1.9074	-101.93225129419153	-99.3257	2.6242465889407605
mp-31149	Ca3BiN	0.5217172900000001	45.2536	0.6750754833148793	0.675	-30.813515117860472	-30.5484	0.8678527119602708
mp-29208	Ca(MgBi)2	0.03833764	24.4754	0.10574932718354298	0.1057	-2.591656009227729	-2.5879	0.14513734022679933
mp-9571	Ca(ZnAs)2	0.24970008999999999	28.6727	0.27615402255028526	0.2761	-7.945471691733917	-7.9175	0.35328944406588364
mp-867194	Sr(MgAs)2	0.50452609	30.5867	0.6690888975399799	0.6691	-20.640395909325026	-20.4661	0.8516322568785696
mp-865185	Mg(BeAs)2	0.30735936	43.8263	0.36819413375316706	0.3682	-16.211371802698654	-16.1377	0.45651984296805087
mp-774907	KLiZnS2	0.25482304	35.5353	1.220979677470524	1.2211	-44.08705221014264	-43.3913	1.6034371179075906
mp-752658	Y2SeO2	0.62173225	59.3689	1.2617439183258918	1.2618	-76.15872872646274	-74.9112	1.6653434018714786
mp-11917	Mg(BeN)2	1.1346510399999998	107.5015	1.5482641655696647	1.5483	-169.9084143793702	-166.4407	2.0834533737062038
mp-998552	BaHfO3	0.94848121	71.7808	2.5596081050652133	2.5596	-190.4843208983761	-183.7336	3.6741896410760484
mp-7770	Sr(ZnAs)2	0.21095649	25.5094	0.2547585712728024	0.2548	-6.5194539281662145	-6.4992	0.3116372502187101
mp-7067	Ca(CdAs)2	0.038416000000000006	23.1252	0.08681791868614283	0.0868	-2.0098443115480347	-2.0076	0.11179077246635866
mp-22313	Na2PtO2	0.96196864	57.5486	1.680632207359883	1.6806	-98.92307048919868	-96.7135	2.2846556987376974
mp-9569	Ca(ZnP)2	0.4637610000000001	39.852	0.41960814695167853	0.4196	-16.81078669107195	-16.7219	0.5315585613593465
mp-9566	Sr(MgSb)2	0.40819321000000003	25.9629	0.4968789680207748	0.4969	-12.981657943329928	-12.9013	0.6228670237102252
mp-9307	Ba2ZnN2	0.9870422500000001	48.8546	1.783052705636313	1.783	-89.23071922921358	-87.1085	2.4362940806162086
mp-8399	CsCdF3	0.39866595999999993	38.6812	3.1570437408372642	3.1569	-127.8964683114766	-122.1134	4.735817945840995
mp-7232	Cs2HgO2	0.93624976	36.9428	3.5244274950973624	3.5245	-137.27657296777883	-130.2035	5.432321687035174
mp-8279	Ba(CdP)2	0.18636488999999998	31.3591	0.2786922522531611	0.2787	-8.770051959728642	-8.7386	0.3599198925301766
mp-8278	Ba(MgP)2	0.49646116	37.9509	0.6930366217342543	0.693	-26.534857611712525	-26.3009	0.8895422274999188
mp-8276	Sr(ZnP)2	0.46226400999999995	36.9179	0.4239571476679235	0.424	-15.735378847816634	-15.6528	0.5275659806337173
mp-6951	RbCdF3	0.42432196	36.7265	4.334511163333856	4.3346	-170.5829689033753	-159.195	7.153471467932605
mp-3614	KTaO3	2.55904009	87.827	3.672220871620197	3.6721	-340.99555842730723	-322.513	5.730794860147422
mp-28171	K3IO	0.31114084	32.7334	2.217673584534808	2.2175	-74.85149285159316	-72.5867	3.1201209747697187
mp-2646	Mg3Sb2	0.29224836	26.8988	0.40171814172374776	0.4017	-10.860472281979797	-10.8065	0.49944276111412245
mp-997089	NaAuO2	0.79049881	67.7293	1.201109864592749	1.2011	-82.63842617301458	-81.3485	1.5856791127243628
mp-9383	SrHfN2	0.25553024999999996	65.3432	0.5332183912840871	0.5332	-35.0781194479492	-34.8407	0.6814428181672597
mp-7988	Cs2O	0.36132120999999995	36.9183	1.3082055248516895	1.3083	-49.13486531762703	-48.2999	1.7287102408639166
mp-7914	NaScO2	1.1874460899999997	79.3467	2.706773014580953	2.7068	-223.2076196794808	-214.7734	3.9270317830237844
mp-755756	Y2TeO2	2.62731681	50.7156	2.364508403749347	2.3645	-123.93600722285895	-119.9165	3.3519217312537872
mp-754326	NaAgO2	0.7366788899999999	68.7719	0.9618153487603285	0.9618	-66.9731326745644	-66.1421	1.256435272790549
mp-976876	K2PtC2	0.31483321000000003	26.1986	1.1188610244390882	1.1188	-29.7428924970248	-29.3106	1.4748674439445126
mp-866141	TiFe2Si	1.1876640400000003	49.3879	0.17730047428431517	0.1773	-8.775846569839072	-8.7566	0.21979500992475293
mp-30041	RbBiS2	0.272484	32.998	0.9107065002419681	0.9107	-30.406340709310204	-30.0526	1.1770718983056436
mp-22473	NaInSe2	0.35200489000000007	25.9863	0.9491756792073139	0.9492	-24.96977632563792	-24.6657	1.2327901727415749
mp-20289	NaInS2	0.4180915599999999	36.9668	1.1752460843262202	1.1754	-44.11717192552781	-43.4489	1.5380640833894794
mp-866132	Na2TlSb	0.09554280999999999	10.4612	0.24355195790450807	0.2435	-2.5556055709822645	-2.5477	0.31030227194193316
mp-862631	Ba2SbAu	0.23145721000000002	14.7271	0.2104522444454026	0.2104	-3.107493949364088	-3.0991	0.27085119434958876
mp-861937	Ba2AsAu	0.15928081	17.0443	0.18286237760568677	0.1829	-3.1238661147232007	-3.117	0.22027958688484942
mp-16763	KYTe2	0.5507124099999999	23.3804	1.1869746938432177	1.1869	-28.18583821454582	-27.7507	1.5680260841918334
mp-12317	SrCN2	0.58537801	94.3927	1.7681042079899487	1.7682	-170.92083145926816	-166.9052	2.4059355006723275
mp-8188	KScO2	0.81830116	73.324	2.3413130412668797	2.3414	-177.36216273624984	-171.6823	3.3083566193194316
mp-8176	RbTlO2	0.27092025	50.9644	1.0150981080943127	1.0151	-52.41879463951789	-51.7329	1.3258383727142502
mp-8175	KTlO2	0.29528356	53.7268	1.0625563602774044	1.0626	-57.88104502018125	-57.088	1.389162381203136
mp-5175	NaInO2	0.26977636	64.2795	1.1812288053272657	1.1812	-77.1097857609889	-75.9263	1.5587296641465493
mp-3748	AlCuO2	0.75759616	87.7091	0.7575327718095105	0.7576	-67.08956109329151	-66.4442	0.9712828106764965
mp-3056	NaTlO2	0.22553001	55.3714	0.8773930212504397	0.8774	-49.13412383829243	-48.5833	1.1337719716289967
mp-22003	NaN3	1.5249780100000003	76.8434	3.8944115804324606	3.8942	-317.77580520721256	-299.2458	6.192235682911033
mp-569677	Sr2IN	0.5288198399999999	42.6687	1.393286834878824	1.3932	-60.55406176585344	-59.4468	1.862609536347519
mp-4280	GaCuO2	0.47706648999999995	71.856	0.6503957399233945	0.6504	-47.12329476778193	-46.7381	0.8241558124569149
mp-23040	Ca2PI	0.47955625	35.4046	1.0588430511437343	1.0588	-38.006916395393155	-37.4872	1.386383606652814
mp-4124	CaCN2	0.6176388100000001	103.1634	1.606651873232966	1.6067	-169.34385954143286	-165.7523	2.1668233511286856
mp-27869	Ba2PCl	0.48511225	28.4392	1.6216875289978063	1.6217	-47.13042965577714	-46.1212	2.1882120495068222
mp-23056	Sr2BrN	0.5590552900000001	45.7967	1.6021857126996968	1.6022	-74.96195870379651	-73.3735	2.164894278992422
mp-23009	Ca2BrN	0.6098048100000001	54.4265	1.4943361408020424	1.4944	-82.96165476284435	-81.336	1.998690325125834
mp-22936	Ca2NCl	0.61340224	57.8584	1.607057083277093	1.607	-94.9997141134291	-92.9792	2.1730818434973638
mp-14116	CuRhO2	0.9040206399999999	79.1797	0.0991476652227454	0.0991	-7.860145081456903	-7.8505	0.12285945426281715
mp-8409	KYO2	0.71014329	64.5552	2.479236707502797	2.4793	-165.71480183648055	-160.0545	3.5364840329266323
mp-546500	NaCNO	0.66178225	75.8169	2.542863586649387	2.5426	-199.82428561273383	-192.7746	3.6569577178393002
mp-28554	Ca2AsI	0.45887076	27.946	1.0939554517039862	1.094	-31.00984471047138	-30.5729	1.4291896106400765
mp-23033	Sr2NCl	0.5697230400000001	48.3791	1.7420277349258804	1.742	-86.27688845485326	-84.2776	2.3722655306430855
