Name	Frequency [meV]	ZPR [meV]	Reference_Alpha	Reference_ZPR [meV]
mp-30251	617.4829378011406	-63.165292	1.300214	-62.002391
mp-30315	589.5325178604801	-91.856441	1.574511	-90.009553
mp-30373	11.166284547051312	-12.173954	1.075115	-12.005039
mp-3038	427.0380749145205	-13.759395	0.594931	-13.664956
mp-304	448.6306411024818	-9.654916	0.441928	-9.58985
mp-3042	507.45840314839427	-262.933965	6.88913	-240.38566
mp-30456	468.9067422362161	-11.761007	0.672647	-11.664625
mp-30459	52.30750070751503	-5.083626	0.176799	-5.07136
mp-30460	43.00229873812935	-2.732396	0.114962	-2.728093
mp-3056	249.85513342363546	-59.573403	1.105314	-58.28602
mp-3070	1583.7302808373604	-250.510514	5.111655	-234.69646
mp-3074	546.9714532786572	-66.380295	2.118011	-64.011212
mp-3078	242.84169396976748	-1.431912	0.055468	-1.430886
mp-30847	52.92642373368467	-6.408757	0.225901	-6.389467
mp-30988	660.5826810906889	-131.435678	3.051103	-123.684759
mp-3104	537.7352921097719	-53.326438	1.140496	-52.44644
mp-31149	95.11223043153743	-36.365412	0.922226	-35.833708
mp-31212	460.0430556483935	-304.52555	5.846046	-244.835131
mp-31235	118.76900241008951	-4.511369	0.329844	-4.487847
mp-31451	55.31581276990508	-17.428936	0.524	-17.290978
mp-31454	56.735859703210124	-9.300342	0.268881	-9.262359
mp-31468	1143.7237761677127	-60.082519	0.948904	-58.987481
mp-315	70.78958735162223	-227.801323	5.140026	-204.966268
mp-3159	463.32588491790045	-16.402452	0.526446	-16.271137
mp-3163	188.63080696179316	-65.060633	1.203735	-63.605481
mp-3167	271.4107391686788	-0.921556	0.063955	-0.92094
mp-3216	367.2303090199342	-111.214246	1.531412	-108.118557
mp-3247	696.558306245227	-107.783344	4.19799	-100.303142
mp-32616	812.2699434639738	-24.67719	0.774417	-24.421565
mp-3277	1158.9226158400934	-197.310762	2.091082	-190.600735
mp-3288	1406.3220076096081	-1453.83601	78.736935	-741.856434
mp-32880	20.051952197211257	-4.207314	0.209274	-4.196352
mp-3349	970.6436837093156	-194.295085	2.361315	-179.410556
mp-33526	324.4900915426474	-29.482013	0.891839	-28.858385
mp-33588	523.6739134801135	-110.12683	1.833202	-105.053137
mp-3359	466.57887949621255	-118.369602	2.25443	-113.490719
mp-3395	1104.6136308455452	-240.101949	6.218386	-218.735218
mp-34126	850.6982664227962	-1.337403	0.113428	-1.336779
mp-34169	228.56849895822188	-7.155331	0.306093	-7.118984
mp-3419	705.98862450415	-391.946619	14.922606	-283.407595
mp-3427	2479.5944607814267	-197.694806	2.219624	-188.393464
mp-34293	451.6118686912599	-79.839484	3.28194	-76.804498
mp-3432	58.992990155508146	-7.924442	0.250484	-7.897963
mp-3448	292.5317071439497	-276.487695	5.03255	-242.072761
mp-34579	968.4759167179743	-334.812897	8.145306	-270.905529
mp-3486	117.12923997371865	-2.271646	0.155168	-2.266729
