Name	Alpha	Mobility	mass	eps_ionic	eps_static	volume	structure	group
mp-13868	0.4362951680398889	45.180013385061635	1.5336	5.175603859534496	5.804858967686721	127.205911128	Orthorhombic	Group17
mp-13898	3.9830305448216423	18.851991331287724	0.7409	2.3938116829727245	7.716694104247922	174.653966451	Cubic	Group13
mp-13900	0.8053764627353153	309.33528334194074	0.5333	6.356531933282457	14.479877538042793	142.725045967	Tetragonal	Group16
mp-13903	2.997065532676903	22.41264929357737	0.7374	2.411694080088894	6.35110295880446	109.257482857	Trigonal	Group14
mp-13907	3.061630139287378	23.600060409413892	0.7291	2.3331750928010377	5.839292755835758	124.940186908	Trigonal	Group14
mp-13925	3.9296619142891185	22.642634292909385	0.6705	2.3423472713060227	9.408584590825988	182.13343933	Cubic	Group17
mp-1394	2.042450673826468	96.46102559013715	0.5815	3.570133525147807	10.159869171281583	74.8538106878	Cubic	Group16
mp-13948	4.1518948557615944	17.517051885973746	0.7231	2.334922896293469	8.828979372565298	172.897209121	Trigonal	Group17
mp-13949	0.1483440000250574	9113.121179957698	0.3324	10.88343153250324	13.624239801049374	220.092983143	Tetragonal	Group13
mp-13983	4.267119628691447	0.9393171694007788	2.6067	3.96481972121246	6.799678177665526	97.5663822705	Trigonal	Group17
mp-13984	4.531594712324578	1.181104405587704	2.2662	3.449885398273344	6.053650627039379	109.240063452	Trigonal	Group17
mp-13992	2.5253260548156784	36.46093338458749	1.2813	6.15867396188581	9.798694938755991	237.328696633	Orthorhombic	Group16
mp-14017	0.6082898185385541	3568.8194651402905	0.3334	7.402444581043671	12.809622099656805	334.446001375	Hexagonal	Group15
mp-14037	4.59285499953471	10.404564613717568	0.9324	3.3125582519101635	18.49984652345528	151.801292856	Cubic	Group13
mp-14038	6.364219275176701	2.483444485759345	1.3702	2.431159083269053	6.523822150049453	151.886678654	Cubic	Group17
mp-14088	8.29938118527565	0.4540447404655431	1.5825	2.3213784117483955	5.8527736395181655	156.867489586	Cubic	Group17
mp-14091	0.1872568618925312	3923.8775443502577	0.3444	7.540559883409654	9.688030376640564	192.370606793	Tetragonal	Group13
mp-14092	0.1043126813161224	9608.397000570869	0.3173	9.312596576114291	11.021174333320674	239.472773504	Tetragonal	Group13
mp-14116	0.0991476652227454	496.6738152825481	0.9508	12.118941399495192	13.442860507626852	46.0527347287	Trigonal	Group16
mp-1413	0.2970624133379944	315.93477841760637	0.8639	19.210978700611975	31.411522040352637	85.7531459905	Orthorhombic	Group15
mp-1415	1.1612528058296254	184.81363701218683	0.6457	5.844476776797903	11.981422299650438	50.4754810006	Cubic	Group16
mp-14175	6.799745709103812	2.147027111596695	1.5051	2.811161189192242	13.53773293000527	178.949667996	Tetragonal	Group16
mp-14205	0.7796052245692814	565.8301023218867	0.6268	8.427989712049639	13.175132056030126	189.322092618	Trigonal	Group15
mp-14206	0.7180855721089117	865.5502203472416	0.5499	8.857808148603155	14.444243669231852	214.243284381	Trigonal	Group15
mp-14285	0.2579618338215267	156.6481859247356	1.2475	23.17172389831052	33.31590990218828	151.612978327	Monoclinic	Group15
mp-14333	2.5594672654142956	5.291681662427664	1.2857	3.860843507750562	11.15915748908897	140.616434872	Monoclinic	Group13
mp-14398	1.94398780494716	18.1250924004948	0.8565	3.343788935006657	9.166008956472451	110.010262813	Trigonal	Group13
mp-14437	2.3135964065968717	26.39148166760575	0.7818	3.75105937085879	15.065776778380112	66.7845256748	Trigonal	Group16
mp-14588	1.3674129242108133	115.8231471007201	0.9003	7.299144424705483	12.720712501229537	222.958242857	Orthorhombic	Group16
mp-1479	0.0095230422434055	10682.252473397635	0.5897	9.443706593449138	9.569636681486267	23.1005035053	Cubic	Group13
mp-1500	1.830337264925997	99.6550685209603	0.6714	5.038900877725683	14.540452637169862	63.8887471381	Cubic	Group16
mp-15157	4.028840012129079	22.725349804493455	0.6727	2.3720019731390836	9.924074546699208	146.399801456	Tetragonal	Group17
mp-1519	0.9025966931674976	326.4587765697674	0.617	6.875033030958107	12.467773635777135	62.2527481284	Cubic	Group16
mp-1522	0.3791013339712317	37.10304643015439	2.0451	20.59980532868699	27.482585514905207	77.8248388663	Orthorhombic	Group16
mp-15349	1.6122769593240618	36.62330577010672	0.7221	3.0633255462176	6.762876072297226	127.090632661	Orthorhombic	Group14
mp-1541	0.2849445732638649	463.8714077641669	0.6024	6.116549742459668	7.733805401325031	33.7600743808	Cubic	Group16
mp-1550	0.2103542671821455	805.8143410344343	0.5798	8.422233583253828	10.580301109945136	40.894762125	Cubic	Group13
mp-15556	1.3683720287160634	237.03203241989735	0.7894	5.9467036387078185	8.87226500451065	345.135629582	Orthorhombic	Group15
mp-1565	2.0984391317334694	11.798165380742187	1.0956	5.81379424064347	40.91884584360535	32.4275254203	Cubic	Group16
mp-15668	0.5516468156761871	1233.050592797509	0.4672	6.85365835458435	10.184287018588066	198.100544128	Hexagonal	Group16
mp-15684	1.1088120039450875	326.080003844112	0.6533	6.71094626465123	11.509679168043162	215.948062252	Orthorhombic	Group15
mp-15685	0.5089090488549438	868.439341397093	0.5619	9.87427199103521	15.515432162298929	163.824512933	Orthorhombic	Group15
mp-1569	0.4450177346295499	202.93933298898696	0.5611	7.040042384196263	14.568041553311842	20.1061196788	Cubic	Group14
mp-15703	0.4164671917428584	141.35839194402033	0.6245	4.773919347605144	7.113953477848387	48.7468588468	Tetragonal	Group14
mp-15704	0.6287031723126039	111.62384254343225	0.6005	4.57877142599894	8.517429572993297	66.5843433756	Tetragonal	Group14
mp-15724	0.3973223504279876	6091.244377930649	0.2869	9.88874512379863	19.01335697298074	113.528458865	Cubic	Group15
mp-15776	0.243467550880899	3607.407670572615	0.3564	8.203037593528183	11.184702963571777	164.71118139	Tetragonal	Group13
mp-15777	0.2172844851048276	1943.5129391386615	0.5715	11.41358482328314	14.020811774031095	207.438158454	Tetragonal	Group13
mp-15781	2.051969946434648	45.86352425738055	0.8506	4.821523419140292	12.13105982544132	112.568162106	Trigonal	Group16
mp-15788	1.2830118003804825	102.21144157134336	0.6972	6.214629650589695	17.792513903718735	78.454895309	Trigonal	Group16
mp-15794	1.1330730561780096	162.85863329279215	0.6753	7.244366727342518	18.55493565249254	88.9294919678	Trigonal	Group16
mp-15896	0.0408052022589113	37460.875069976326	0.2404	12.944955103498392	14.726997247261089	242.897509091	Monoclinic	Group14
